Ref_produit,Categorie,Description,Marque
BK150AA,PC/postes de travail,"HP Pavilion p6331p. Fréquence du processeur: 3 GHz, Famille de processeur: Intel® Pentium® 4, Modèle de processeur: 630. Mémoire interne: 8 Go, Type de mémoire interne: DDR3-SDRAM, Fréquence de la mémoire: 1333 MHz. Capacité totale de stockage: 750 Go, Supports de stockage: HDD, Lecteur optique: DVD Super Multi DL. Modèle d'adaptateur graphique inclus: AMD Radeon HD 4200. Système d'exploitation installé: Windows 7 Home Premium, Architecture du système d'exploitation: 64-bit. Alimentation d'énergie: 300 W. Type de châssis: Mini Tower. Type de produit: PC",HP
VD442AV,Laptops,HP EliteBook 8540p Base Model Notebook PC,HP
KE289A6,Écrans plats de PC,HP LP2275w 22-inch (4-pack) Widescreen LCD Monitor,HP
TA031AAE,Logiciel de stockage,HP Data Protector Notebook Extension E-Media. Type: Stockage en réseau,HP
VV122AA,Adaptateurs de puissance & onduleurs,"HP VV122AA. Utilité: Ordinateur portable, Type d'alimentation d'énergie: Auto, Tension d'entrée: 12 V. Couleur du produit: Noir. Largeur: 93 mm, Profondeur: 40 mm, Hauteur: 28,5 mm. Poids du paquet: 343 g. Dimensions (LxPxH): 93 x 40 x 28,5 mm, Dimensions du colis (LxPxH): 245 x 118 x 65 mm",HP
WJ007PA,Laptops,HP Pavilion dm3-1108tu Entertainment Notebook PC,HP
WH868UA,Laptops,HP Mini 210-1053NR PC,HP
WH865UA,Laptops,HP Mini 210-1073NR PC,HP
J9447AZ,Commutateurs réseaux,HP ProCurve 5406zl-48G-PoE+ Switch,HP
HE834A1,Logiciels de développement,HP SOX Accel Fast Start SW SVC. Type: Logiciel de développement,HP
T3487AA,Licences et mises à jour de logiciel,HP CM Desktop Management Suite v4 1000 Users Windows SW License,HP
T3495AAE,Licences et mises à jour de logiciel,HP CM PC Management Bundle 1000 Users SW E-License,HP
T3407BAE,Licences et mises à jour de logiciel,HP CAE Extension for Windows Installer PC SW E-License,HP
T3338BAE,Licences et mises à jour de logiciel,HP Inventory Manager Single User PC SW E-License,HP
T3355BAE,Licences et mises à jour de logiciel,HP Client Automation Enterprise Patch Manager SW E-License,HP
HE839A1,Logiciels de développement,HP LoadRunner Quick Start Premium SW SVC. Type: Logiciel de développement,HP
HB214AA,Licences et mises à jour de logiciel,HP Client Management Radia 3 SSP SW License,HP
TRO81207001,Cartouches de toner,HP TROY 3005 MICR High-yield APACS Toner Cartridge,HP
T4852AAE,Licences et mises à jour de logiciel,HP CAE Management and Migration Suite SW E-License,HP
T4853AAE,Licences et mises à jour de logiciel,HP CAE Management and Migration Suite 1000 Users SW E-License,HP
CJ871AAE,Licences et mises à jour de logiciel,HP Dialogue Module for DLF Output Workstation Engine Production SW E-LTU,HP
CJ904AAE,Licences et mises à jour de logiciel,HP Dialogue Module for XML Content Workstation Engine Production SW E-LTU,HP
CQ597AAE,Licences et mises à jour de logiciel,HP Remote and Confidential Printing Production SW E-LTU,HP
CQ585AAE,Licences et mises à jour de logiciel,HP Output Management MYSQL SW E-LTU,HP
CQ686AAE,Télécommandes,HP Remote and Confidential Printing Software,HP
TROHP573111,Imprimantes laser,HP TROY 3005N MICR Secure 1T/1L/110V Printer,HP
KY581AA,Laptops,HP Voodoo Envy133 NV4045NA Notebook PC,HP
PHA00028,Logiciels utilitaires pour PC,HP Pharos UP Higher Ed Site (FTE 5k-7.5k) License. Type: Impression,HP
PHA00060,Logiciels utilitaires pour PC,HP Pharos UP Office IPR (1-250) Device Software. Type: Impression,HP
PHA00055,Logiciels utilitaires pour PC,HP Pharos UP CBORD Billing Gateway Software. Type: Impression,HP
PHA00023,Licences et mises à jour de logiciel,HP Pharos Uniprint Higher Education Base Standard License,HP
PHA00009,Licences et mises à jour de logiciel,HP Pharos UP Standard (501) IMFP Device License,HP
PHA00037,Licences et mises à jour de logiciel,HP Pharos UP Off The Glass Copier Standard License,HP
PHA00061,Logiciels utilitaires pour PC,HP Pharos UP Office IPR (251-500) Device Software. Type: Impression,HP
TRO81127001,Cartouches de toner,HP TROY 2300 MICR Toner Cartridge,HP
TROHP572112,Imprimantes laser,HP TROY 3005N MICR 1T/1L/220V Printer,HP
TRO81130001,Cartouches de toner,HP TROY 2300 MICR APACS Toner Cartridge,HP
T9391AAE,Logiciels de développement,HP BAC for SAP Suite SW E-License. Type: Logiciel de développement,HP
T9391AA,Logiciels de développement,HP BAC for SAP Suite SW License. Type: Logiciel de développement,HP
T6207AAE,Non classé,HP BAC SLM for Business Process Monitor 51-200 Targets SW E-License,HP
T5690AA,Logiciels de développement,HP BAC and EUM with Business Process Monitor 201+ Targets SW License. Type: Logiciel de développement,HP
BB186AAE,Licences et mises à jour de logiciel,HP Business Process Insight 1 Process SW E-License,HP
T9569AAE,Logiciels de développement,HP BAC SLM for TV Mainframe Sensor per MSU SW E-License. Type: Logiciel de développement,HP
TA384AAE,Logiciels de développement,HP BAC Service Level Management for SOA 1-20 CPUs SW E-License. Type: Logiciel de développement,HP
T8352BA,Logiciels de développement,HP BAC MLU v7.50 SW Media. Type: Logiciel de développement,HP
T9530AAE,Logiciels de développement,HP EUM with RUM for TCP/IP 100 Mbps at 500-2000 Mbps Tier SW E-License. Type: Logiciel de développement,HP
CQ516AAE,Licences et mises à jour de logiciel,HP Exstream Citrix Instance SW E-LTU,HP
CQ579AAE,Licences et mises à jour de logiciel,HP Output Explorer SW E-LTU,HP
DUMDIS,Logiciels de développement,HP DevInspect Software. Type: Logiciel de développement,HP
T3944CAE,Logiciel de mise en réseau,HP Select Identity v4.21 Multilingual User Interface SW E-Media. Type: Gestion de réseau,HP
KY582AA,Laptops,HP Voodoo Envy133 NV4050NA Notebook PC,HP
TROHP574112,Imprimantes laser,HP TROY 3005N MICR Secure EX 1T/1L/220V Printer,HP
T9592AA,Logiciels de développement,HP AMP 25-Sensor Suite Non-Production includes 10 WebInspect User SW License. Type: Logiciel de développement,HP
T8354BA,Logiciels de développement,HP SiteScope v9.50 MLU SW Media. Type: Logiciel de développement,HP
T9472AA,Logiciels de développement,HP SaaS DDM for BAC Found (AE) 1 Year Bundle Support SW License. Type: Logiciel de développement,HP
VV074AV,Laptops,HP Mini 210-1000 CTO PC,HP
TB605AAE,Logiciel de stockage,HP Application Information Optimizer Platform v6.2 E-Media. Type: Stockage en réseau,HP
WD987AV,Laptops,HP Mini 2102 Base Model,HP
KM218AA,Filtres anti-reflets pour écran et filtres de confidentialité,HP 3M 17-inch Privacy Screen Filter,HP
J9148AZ,Commutateurs réseaux,HP 2910-48G-PoE+ al Switch for Factory Integration,HP
J9448AZ,Commutateurs réseaux,HP ProCurve 5412zl-96G-PoE+ Switch,HP
CN446AAE,Logiciels utilitaires pour PC,HP Web Jetadmin Business Intelligence Module Development Software,HP
HE847A1,Logiciels de développement,HP BAC SLM Implementation SW SVC. Type: Logiciel de développement,HP
T3937AA,Licences et mises à jour de logiciel,HP CM Server Virtual 10 Pack SW License,HP
T3498AA,Licences et mises à jour de logiciel,HP Settings Migration Upgrade v4.6 10 Pack SW License,HP
T3355BA,Licences et mises à jour de logiciel,HP Client Automation Enterprise Patch Manager SW License,HP
HE837A1,Logiciels de développement,HP LoadRunner Quick Strt Standard SW SVC. Type: Logiciel de développement,HP
TROSF20347,Imprimantes laser,HP TROY CitiDirect 4250 Secure EX 1T1L/220V Printer,HP
TRO20369001,Kits d'imprimantes et scanners,HP TROY 9050 Font Memory Card Kit,HP
TRO18583001,Cartouches de toner,HP TROY 5P/6P MICR Toner Cartridge,HP
TROKB00713,Imprimantes laser,HP TROY State Farm Claim 4350N 110V Printer,HP
T3923AA,Logiciel de mise en réseau,HP Unix Desktop Management Bundle v4i 1000 Users Radia SW License. Type: Gestion de réseau,HP
CJ890AAE,Licences et mises à jour de logiciel,HP Dialogue Module for PPML Output Workstation Engine Production SW E-LTU,HP
CJ896AAE,Licences et mises à jour de logiciel,HP Dialogue Module for VDX Output Workstation Engine Production SW E-LTU,HP
CJ883AAE,Licences et mises à jour de logiciel,HP Utility for AFP Studio PDF Compare Windows SW E-LTU,HP
CJ867AAE,Licences et mises à jour de logiciel,HP Dialogue Module for Advanced Tables Wrkstn Engine Production SW E-LTU,HP
CJ880AAE,Licences et mises à jour de logiciel,HP Dialogue Module for ODBC Data Access Wrkstn Engine Production SW E-LTU,HP
KY579AA,Laptops,HP Voodoo Envy133 NV4015NA Notebook PC,HP
TRONY00586,Imprimantes laser,HP TROY NYCH/HC 3005DTN Custom 2T1L/110V Printer,HP
PHA00038,Logiciels utilitaires pour PC,HP Pharos UP Off The Glass Site (FTE 1-3000) License. Type: Impression,HP
PHA00006,Licences et mises à jour de logiciel,HP Pharos UP Standard (501 plus) Device License,HP
TRO81134001,Cartouches de toner,HP TROY 2420/2430 MICR Secure High-yield Toner Cartridge,HP
T9475AA,Logiciels de développement,HP SaaS DDM for BAC Found (AE) 501-1000 CPU 1 Year Bundle Support SW License. Type: Logiciel de développement,HP
T9890AAE,Logiciels de développement,HP SaaS BAC Real User Monitor 21-50 CPUs 1 Year Bundle Support SW E-License. Type: Logiciel de développement,HP
T9198AA,Logiciels de développement,HP BAC Diagnostics for SOA 1-50 CPU SW License. Type: Logiciel de développement,HP
T9472AAE,Logiciels de développement,HP SaaS DDM for BAC Found (AE) 1 Year Bundle Support SW E-License. Type: Logiciel de développement,HP
TA385AA,Logiciels de développement,HP BAC Service Level Management for SOA 21-50 CPUs SW License. Type: Logiciel de développement,HP
T8396AAE,Logiciels de développement,HP BAC for SOA with Business Process Monitor Suite SW E-License. Type: Logiciel de développement,HP
TA382AAE,Logiciels de développement,HP BAC for SOA Service Providers SW E-License. Type: Logiciel de développement,HP
T8368AA,Logiciels de développement,HP SiteScope Monitors 51-500 Points 1 Year Term SW License. Type: Logiciel de développement,HP
HE823A1,Logiciels de développement,HP Deployment Offering SSO SW SVC. Type: Logiciel de développement,HP
T9567AAE,Logiciels de développement,HP BAC SLM for BPI per Business Process SW E-License. Type: Logiciel de développement,HP
T6203AAE,Logiciels de développement,HP SaaS BAC SLM for SiteScope 51-500 Points 1 Year Bundle Support SW E-License. Type: Logiciel de développement,HP
GK854AA,Systèmes de paiement,HP rp5700 Point of Sale System,HP
ZD124AA,Logistique,HP Saturday Delivery Service for Personal Systems,HP
