Ref_produit,Categorie,Description,Marque
PL50ZBBP,Appareils photos numériques,"Samsung PL PL50. Type d'appareil photo: Appareil-photo compact, Mégapixel: 10,3 MP, Taille du capteur d'image: 1/2.33"", Type de capteur: CCD (dispositif à transfert de charge), Résolution d'image maximale: 3648 x 2736 pixels. Zoom optique: 3x, Zoom numérique: 5x, Longueur focale: 6.2 - 18.6 mm. Résolution vidéo maximale: 640 x 480 pixels. Taille de l'écran: 6,86 cm (2.7""). Mémoire interne: 9 Mo. PictBridge. Poids: 116,1 g. Couleur du produit: Noir",Samsung
PL50ZSBP,Appareils photos numériques,"Samsung PL PL50. Type d'appareil photo: Appareil-photo compact, Mégapixel: 10,3 MP, Taille du capteur d'image: 1/2.33"", Type de capteur: CCD (dispositif à transfert de charge), Résolution d'image maximale: 3648 x 2736 pixels. Zoom optique: 3x, Zoom numérique: 5x, Longueur focale: 6.2 - 18.6 mm. Résolution vidéo maximale: 640 x 480 pixels. Taille de l'écran: 6,86 cm (2.7""). Mémoire interne: 9 Mo. PictBridge. Poids: 116,1 g. Couleur du produit: Argent",Samsung
EVERLASTDB4,Étuis et housses d’appareils photo,Cellularline Everlast Digibags. Couleur du produit: Noir,Cellularline
EVERLASTDB2,Étuis et housses d’appareils photo,"Cellularline Everlast Digibags. Couleur du produit: Noir, Gris",Cellularline
33S0301,Imprimantes laser,"Lexmark E250DN. Technologie d'impression: Laser. Nombre de cartouches d'impression: 1, Cycle de service (Maximum): 50000 pages par mois. Résolution maximale: 600 x 600 DPI. Taille de papier de série A ISO maximum: A4. Vitesse d'impression (noir, qualité normale, A4/US Letter): 28 ppm, Impression recto-verso. Réseau prêt à l'usage",Lexmark
EVERLASTDB3,Étuis et housses d’appareils photo,Cellularline Everlast Digibags. Couleur du produit: Jaune,Cellularline
HOLLYWOODDB1,Étuis et housses d’appareils photo,Cellularline Hollywood Milano. Couleur du produit: Jaune,Cellularline
HOLLYWOODDB2,Étuis et housses d’appareils photo,Cellularline Hollywood Milano. Couleur du produit: Rose,Cellularline
HOLLYWOODDB4,Étuis et housses d’appareils photo,Cellularline Hollywood Milano. Couleur du produit: Noir,Cellularline
HOLLYWOODDB5,Étuis et housses d’appareils photo,Cellularline Hollywood Milano. Couleur du produit: Noir,Cellularline
HOLLYWOODDB6,Étuis et housses d’appareils photo,Cellularline Hollywood Milano. Couleur du produit: Rose,Cellularline
HOLLYWOODDB7,Étuis et housses d’appareils photo,Cellularline Hollywood Milano. Couleur du produit: Jaune,Cellularline
HOLLYWOODDB8,Étuis et housses d’appareils photo,Cellularline Hollywood Milano. Couleur du produit: Noir,Cellularline
JOERIVETTODB1,Étuis et housses d’appareils photo,Cellularline Joe Rivetto. Couleur du produit: Multicolore,Cellularline
JOERIVETTODB2,Étuis et housses d’appareils photo,Cellularline Joe Rivetto. Couleur du produit: Noir,Cellularline
JOERIVETTODB3,Étuis et housses d’appareils photo,"Cellularline Joe Rivetto. Couleur du produit: Noir, Blanc",Cellularline
JOERIVETTODB4,Étuis et housses d’appareils photo,Cellularline Joe Rivetto. Couleur du produit: Multicolore,Cellularline
90-C1CPC0-L0UAN0KZ,Cartes graphiques,"ASUS Bravo 220 SILENT/DI/1GD2(LP). Processeur graphique: GeForce GT 220, Fréquence du processeur: 525 MHz. Mémoire carte graphique distincte: 1 Go, Type de mémoire de l'adaptateur graphique: GDDR2, Mémoire Bus: 128 bit, Fréquence de la mémoire: 800 MHz. Résolution maximale: 2560 x 1600 pixels. Version DirectX: 10.1. Type d'interface: PCI Express 2.1. Type de refroidissement: Passif",ASUS
LKN:T6012M0001IT,Laptops,"Fujitsu STYLISTIC STYLSITIC ST6012. Famille de processeur: Intel® Core™2 Duo, Modèle de processeur: SU9400, Fréquence du processeur: 1,4 GHz. Taille de l'écran: 30,7 cm (12.1""), Écran tactile. Système d'exploitation installé: Windows 7 Professional. Couleur du produit: Noir. Poids: 1,6 kg",Fujitsu
HA110A3#15L,Extensions de garantie et support,HP 3y SupportPlus MS ProLiant ML350 SVC,HP
